"test_num","test_name","metric_name","status","metric_val","commit_message","commit_SHA","commit_date","benchmark_date","benchmark_most_recent_SHA"
1,"to_upper and to_lower have equivalent base versions","runtime (in seconds)","Pass",0.001195,"Create main.yml","b72171af2e6b4287877a6b850bf535854e838659",2020-05-11 12:54:46,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"to_title creates one capital letter per word","runtime (in seconds)","Pass",0.0013014,"Create main.yml","b72171af2e6b4287877a6b850bf535854e838659",2020-05-11 12:54:46,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"to_sentence capitalizes just the first letter","runtime (in seconds)","Pass",0.0009457,"Create main.yml","b72171af2e6b4287877a6b850bf535854e838659",2020-05-11 12:54:46,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"test-case.R","runtime (in seconds)","Pass",0.0688343,"Create main.yml","b72171af2e6b4287877a6b850bf535854e838659",2020-05-11 12:54:46,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"to_upper and to_lower have equivalent base versions","runtime (in seconds)","Pass",0.0013446,"Create main.yml","b72171af2e6b4287877a6b850bf535854e838659",2020-05-11 12:54:46,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"to_title creates one capital letter per word","runtime (in seconds)","Pass",0.0015729,"Create main.yml","b72171af2e6b4287877a6b850bf535854e838659",2020-05-11 12:54:46,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"to_sentence capitalizes just the first letter","runtime (in seconds)","Pass",0.0007579,"Create main.yml","b72171af2e6b4287877a6b850bf535854e838659",2020-05-11 12:54:46,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"test-case.R","runtime (in seconds)","Pass",0.0038642,"Create main.yml","b72171af2e6b4287877a6b850bf535854e838659",2020-05-11 12:54:46,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"to_upper and to_lower have equivalent base versions","runtime (in seconds)","Pass",0.0015002,"Create main.yml","b72171af2e6b4287877a6b850bf535854e838659",2020-05-11 12:54:46,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"to_title creates one capital letter per word","runtime (in seconds)","Pass",0.0015898,"Create main.yml","b72171af2e6b4287877a6b850bf535854e838659",2020-05-11 12:54:46,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"to_sentence capitalizes just the first letter","runtime (in seconds)","Pass",0.0008167,"Create main.yml","b72171af2e6b4287877a6b850bf535854e838659",2020-05-11 12:54:46,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"test-case.R","runtime (in seconds)","Pass",0.0040292,"Create main.yml","b72171af2e6b4287877a6b850bf535854e838659",2020-05-11 12:54:46,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"to_upper and to_lower have equivalent base versions","runtime (in seconds)","Pass",0.0013829,"Fix typos (#334","faedc2dbf7abc2fab65040d096a8128d8ddeb5e1",2020-04-20 20:31:14,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"to_title creates one capital letter per word","runtime (in seconds)","Pass",0.0014959,"Fix typos (#334","faedc2dbf7abc2fab65040d096a8128d8ddeb5e1",2020-04-20 20:31:14,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"to_sentence capitalizes just the first letter","runtime (in seconds)","Pass",0.0008994,"Fix typos (#334","faedc2dbf7abc2fab65040d096a8128d8ddeb5e1",2020-04-20 20:31:14,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"test-case.R","runtime (in seconds)","Pass",0.0037931,"Fix typos (#334","faedc2dbf7abc2fab65040d096a8128d8ddeb5e1",2020-04-20 20:31:14,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"to_upper and to_lower have equivalent base versions","runtime (in seconds)","Pass",0.0013321,"Fix typos (#334","faedc2dbf7abc2fab65040d096a8128d8ddeb5e1",2020-04-20 20:31:14,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"to_title creates one capital letter per word","runtime (in seconds)","Pass",0.0016075,"Fix typos (#334","faedc2dbf7abc2fab65040d096a8128d8ddeb5e1",2020-04-20 20:31:14,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"to_sentence capitalizes just the first letter","runtime (in seconds)","Pass",0.0008489,"Fix typos (#334","faedc2dbf7abc2fab65040d096a8128d8ddeb5e1",2020-04-20 20:31:14,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"test-case.R","runtime (in seconds)","Pass",0.0036059,"Fix typos (#334","faedc2dbf7abc2fab65040d096a8128d8ddeb5e1",2020-04-20 20:31:14,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"to_upper and to_lower have equivalent base versions","runtime (in seconds)","Pass",0.0015026,"Fix typos (#334","faedc2dbf7abc2fab65040d096a8128d8ddeb5e1",2020-04-20 20:31:14,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"to_title creates one capital letter per word","runtime (in seconds)","Pass",0.0013285,"Fix typos (#334","faedc2dbf7abc2fab65040d096a8128d8ddeb5e1",2020-04-20 20:31:14,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"to_sentence capitalizes just the first letter","runtime (in seconds)","Pass",0.0010259,"Fix typos (#334","faedc2dbf7abc2fab65040d096a8128d8ddeb5e1",2020-04-20 20:31:14,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"test-case.R","runtime (in seconds)","Pass",0.0043854,"Fix typos (#334","faedc2dbf7abc2fab65040d096a8128d8ddeb5e1",2020-04-20 20:31:14,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"to_upper and to_lower have equivalent base versions","runtime (in seconds)","Pass",0.0013482,"Install tidytem","94e54c8e8d2481c01e1a80d4a6e3a4cf783c73dd",2020-04-20 20:30:52,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"to_title creates one capital letter per word","runtime (in seconds)","Pass",0.0018211,"Install tidytem","94e54c8e8d2481c01e1a80d4a6e3a4cf783c73dd",2020-04-20 20:30:52,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"to_sentence capitalizes just the first letter","runtime (in seconds)","Pass",0.0011304,"Install tidytem","94e54c8e8d2481c01e1a80d4a6e3a4cf783c73dd",2020-04-20 20:30:52,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
1,"test-case.R","runtime (in seconds)","Pass",0.0037851,"Install tidytem","94e54c8e8d2481c01e1a80d4a6e3a4cf783c73dd",2020-04-20 20:30:52,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"to_upper and to_lower have equivalent base versions","runtime (in seconds)","Pass",0.0012878,"Install tidytem","94e54c8e8d2481c01e1a80d4a6e3a4cf783c73dd",2020-04-20 20:30:52,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"to_title creates one capital letter per word","runtime (in seconds)","Pass",0.001743,"Install tidytem","94e54c8e8d2481c01e1a80d4a6e3a4cf783c73dd",2020-04-20 20:30:52,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"to_sentence capitalizes just the first letter","runtime (in seconds)","Pass",0.0008957,"Install tidytem","94e54c8e8d2481c01e1a80d4a6e3a4cf783c73dd",2020-04-20 20:30:52,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
2,"test-case.R","runtime (in seconds)","Pass",0.0043149,"Install tidytem","94e54c8e8d2481c01e1a80d4a6e3a4cf783c73dd",2020-04-20 20:30:52,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
3,"to_upper and to_lower have equivalent base versions","runtime (in seconds)","Pass",0.0014178,"Install tidytem","94e54c8e8d2481c01e1a80d4a6e3a4cf783c73dd",2020-04-20 20:30:52,2020-05-11 13:05:19,"b72171af2e6b4287877a6b850bf535854e838659"
